200-01.csv,200-05.csv,200-10.csv,200-20.csv,350-01.csv,350-05.csv,350-10.csv,350-20.csv,400-01.csv,400-05.csv,400-10.csv,400-20.csv,500-01.csv,500-05.csv,500-10.csv,500-20.csv
o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample
0,0,.00390625,.0078125,-.109375,-.57421875,-1.140625,-2.421875,-.0859375,-.4609375,-.921875,-1.84375,.00390625,.01953125,.03515625,.07421875
0,.00390625,.0078125,.015625,-.09765625,-.52734375,-1.05859375,-2.2421875,-.08203125,-.4375,-.87109375,-1.7421875,.00390625,.015625,.02734375,.0625
0,.00390625,.01171875,.01953125,-.0859375,-.4609375,-.91796875,-1.9453125,-.07421875,-.38671875,-.76953125,-1.53515625,0,.0078125,.01953125,.04296875
0,.0078125,.01171875,.0234375,-.0703125,-.37109375,-.734375,-1.5546875,-.05859375,-.3125,-.6171875,-1.23828125,0,.00390625,.0078125,.01953125
0,.0078125,.01171875,.02734375,-.046875,-.2578125,-.515625,-1.08984375,-.0390625,-.21484375,-.4296875,-.86328125,0,0,0,0
0,.0078125,.015625,.02734375,-.0234375,-.1328125,-.265625,-.56640625,-.01953125,-.109375,-.21484375,-.4296875,0,-.00390625,-.0078125,-.015625
0,.0078125,.015625,.03515625,0,-.00390625,-.0078125,-.01171875,0,.00390625,.01171875,.01953125,0,-.0078125,-.015625,-.02734375
0,.0078125,.015625,.03515625,.0234375,.12890625,.2578125,.5390625,.0234375,.12109375,.23828125,.47265625,0,-.0078125,-.01953125,-.0390625
0,.0078125,.015625,.03515625,.046875,.25390625,.5078125,1.07421875,.04296875,.22265625,.44921875,.90234375,0,-.0078125,-.01953125,-.04296875
0,.0078125,.015625,.03515625,.0703125,.38671875,.77734375,1.46875,.05859375,.33984375,.671875,1.34375,0,-.0078125,-.01953125,-.0390625
0,.0078125,.015625,.03515625,.0859375,.4921875,.98046875,1.85546875,.07421875,.4140625,.828125,1.6484375,0,-.0078125,-.015625,-.03125
